January 1,Ezra 1 | Acts 1
January 2,Ezra 2 | Acts 2
January 3,Ezra 3 | Acts 3
January 4,Ezra 4 | Acts 4
January 5,Ezra 5 | Acts 5
January 6,Ezra 6 | Acts 6
January 7,Ezra 7 | Acts 7
January 8,Ezra 8 | Acts 8
January 9,Ezra 9 | Acts 9
January 10,Ezra 10 | Acts 10 
January 11,Nehemiah 1 | Acts 11
January 12,Nehemiah 2 | Acts 12
January 13,Nehemiah 3 | Acts 13
January 14,Nehemiah 4 | Acts 14
January 15,Nehemiah 5 | Acts 15
January 16,Nehemiah 6 | Acts 16
January 17,Nehemiah 7 | Acts 17
January 18,Nehemiah 8 | Acts 18
January 19,Nehemiah 9 | Acts 19 
January 20,Nehemiah 10 | Acts 20 
January 21,Nehemiah 11 | Acts 21 
January 22,Nehemiah 12 | Acts 22 
January 23,Nehemiah 13 | Acts 23 
January 24,Esther 1 | Acts 24 
January 25,Esther 2 | Acts 25 
January 26,Esther 3 | Acts 26 
January 27,Esther 4 | Acts 27 
January 28,Esther 5 | Acts 28 
January 29,Esther 6 | Romans 1 
January 30,Esther 7 | Romans 2 
January 31,Esther 8 | Romans 
February 1,Esther 9-10 | Romans 4 
February 2,Job 1 | Romans 5
February 3,Job 2 | Romans 6
February 4,Job 3 | Romans 7
February 5,Job 4 | Romans 8
February 6,Job 5 | Romans 9
February 7,Job 6 | Romans 10
February 8,Job 7 | Romans 11
February 9,Job 8 | Romans 12
February 10,Job 9 | Romans 13
February 11,Job 10 | Romans 14
February 12,Job 11 | Romans 15
February 13,Job 12 | Romans 16
February 14,Job 13 | 1 Corinthians 1
February 15,Job 14 | 1 Corinthians 2 
February 16,Job 15 | 1 Corinthians 3 
February 17,Job 16-17 | 1 Corinthians 4 
February 18,Job 18 | 1 Corinthians 5 
February 19,Job 19 | 1 Corinthians 6 
February 20,Job 20 | 1 Corinthians 7 
February 21,Job 21 | 1 Corinthians 8 
February 22,Job 22 | 1 Corinthians 9 
February 23,Job 23 | 1 Corinthians 10 
February 24,Job 24 | 1 Corinthians 11 
February 25,Job 25-26 | 1 Corinthians 12 
February 26,Job 27 | 1 Corinthians 13 
February 27,Job 28 | 1 Corinthians 14 
February 28,Job 29 | 1 Corinthians 15
March 1,Job 30 | 1 Corinthians 16
March 2,Job 31 | 2 Corinthians 1
March 3,Job 32 | 2 Corinthians 2
March 4,Job 33 | 2 Corinthians 3
March 5,Job 34 | 2 Corinthians 4
March 6,Job 35 | 2 Corinthians 5
March 7,Job 36 | 2 Corinthians 6
March 8,Job 37 | 2 Corinthians 7
March 9,Job 38 | 2 Corinthians 8
March 10,Job 39 | 2 Corinthians 9
March 11,Job 40 | 2 Corinthians 10
March 12,Job 41 | 2 Corinthians 11
March 13,Job 42 | 2 Corinthians 12 
March 14,Proverbs 1 | 2 Corinthians 13 
March 15,Proverbs 2 | Galatians 1 
March 16,Proverbs 3 | Galatians 2 
March 17,Proverbs 4 | Galatians 3 
March 18,Proverbs 5 | Galatians 4 
March 19,Proverbs 6 | Galatians 5 
March 20,Proverbs 7 | Galatians 6 
March 21,Proverbs 8 | Ephesians 1 
March 22,Proverbs 9 | Ephesians 2 
March 23,Proverbs 10 | Ephesians 3 
March 24,Proverbs 11 | Ephesians 4 
March 25,Proverbs 12 | Ephesians 5 
March 26,Proverbs 13 | Ephesians 6 
March 27,Proverbs 14 | Philippians 1 
March 28,Proverbs 15 | Philippians 2 
March 29,Proverbs 16 | Philippians 3 
March 30,Proverbs 17 | Philippians 4 
March 31,Proverbs 18 | Colossians 1
April 1,Proverbs 19 | Colossians 2 
April 2,Proverbs 20 | Colossians 3 
April 3,Proverbs 21 | Colossians 4 
April 4,Proverbs 22 | 1 Thessalonians 1 
April 5,Proverbs 23 | 1 Thessalonians 2 
April 6,Proverbs 24 | 1 Thessalonians 3 
April 7,Proverbs 25 | 1 Thessalonians 4 
April 8,Proverbs 26 | 1 Thessalonians 5 
April 9,Proverbs 27 | 2 Thessalonians 1 
April 10,Proverbs 28 | 2 Thessalonians 2 
April 11,Proverbs 29 | 2 Thessalonians 3 
April 12,Proverbs 30 | 1 Timothy 1 
April 13,Proverbs 31 | 1 Timothy 2 
April 14,Ecclesiastes 1 | 1 Timothy 3 
April 15,Ecclesiastes 2 | 1 Timothy 4 
April 16,Ecclesiastes 3 | 1 Timothy 5 
April 17,Ecclesiastes 4 | 1 Timothy 6 
April 18,Ecclesiastes 5 | 2 Timothy 1 
April 19,Ecclesiastes 6 | 2 Timothy 2 
April 20,Ecclesiastes 7 | 2 Timothy 3 
April 21,Ecclesiastes 8 | 2 Timothy 4 
April 22,Ecclesiastes 9 | Titus 1 
April 23,Ecclesiastes 10 | Titus 2 
April 24,Ecclesiastes 11 | Titus 3 
April 25,Ecclesiastes 12 | Philemon 1 
April 26,Song of Solomon 1 | Hebrews 1 
April 27,Song of Solomon 2 | Hebrews 2 
April 28,Song of Solomon 3 | Hebrews 3 
April 29,Song of Solomon 4 | Hebrews 4 
April 30,Song of Solomon 5 | Hebrews 5
May 1,Song of Solomon 6 | Hebrews 6 
May 2,Song of Solomon 7 | Hebrews 7 
May 3,Song of Solomon 8 | Hebrews 8 
May 4,Isaiah 1 | Hebrews 9
May 5,Isaiah 2 | Hebrews 10 
May 6,Isaiah 3-4 | Hebrews 11 
May 7,Isaiah 5 | Hebrews 12 
May 8,Isaiah 6 | Hebrews 13 
May 9,Isaiah 7 | James 1 
May 10,Isaiah 8:1-9:7 | James 2 
May 11,Isaiah 9:8-10:4 | James 3 
May 12,Isaiah 10:5-34 | James 4 
May 13,Isaiah 11-12 | James 5 
May 14,Isaiah 13 | 1 Peter 1 
May 15,Isaiah 14 | 1 Peter 2 
May 16,Isaiah 15 | 1 Peter 3 
May 17,Isaiah 16 | 1 Peter 4 
May 18,Isaiah 17-18 | 1 Peter 5 
May 19,Isaiah 19-20 | 2 Peter 1 
May 20,Isaiah 21 | 2 Peter 2 
May 21,Isaiah 22 | 2 Peter 3 
May 22,Isaiah 23 | 1 John 1 
May 23,Isaiah 24 | 1 John 2 
May 24,Isaiah 25 | 1 John 3 
May 25,Isaiah 26 | 1 John 4 
May 26,Isaiah 27 | 1 John 5 
May 27,Isaiah 28 | 2 John 1 
May 28,Isaiah 29 | 3 John 1 
May 29,Isaiah 30 | Jude 1
May 30,Isaiah 31 | Revelation 1 
May 31,Isaiah 32 | Revelation 2
June 1,Isaiah 33 | Revelation 3 
June 2,Isaiah 34 | Revelation 4 
June 3,Isaiah 35 | Revelation 5 
June 4,Isaiah 36 | Revelation 6 
June 5,Isaiah 37 | Revelation 7 
June 6,Isaiah 38 | Revelation 8 
June 7,Isaiah 39 | Revelation 9 
June 8,Isaiah 40 | Revelation 10 
June 9,Isaiah 41 | Revelation 11 
June 10,Isaiah 42 | Revelation 12 
June 11,Isaiah 43 | Revelation 13 
June 12,Isaiah 44 | Revelation 14 
June 13,Isaiah 45 | Revelation 15 
June 14,Isaiah 46 | Revelation 16 
June 15,Isaiah 47 | Revelation 17 
June 16,Isaiah 48 | Revelation 18 
June 17,Isaiah 49 | Revelation 19 
June 18,Isaiah 50 | Revelation 20 
June 19,Isaiah 51 | Revelation 21 
June 20,Isaiah 52 | Revelation 22 
June 21,Isaiah 53 | Matthew 1 
June 22,Isaiah 54 | Matthew 2 
June 23,Isaiah 55 | Matthew 3 
June 24,Isaiah 56 | Matthew 4 
June 25,Isaiah 57 | Matthew 5 
June 26,Isaiah 58 | Matthew 6 
June 27,Isaiah 59 | Matthew 7 
June 28,Isaiah 60 | Matthew 8 
June 29,Isaiah 61 | Matthew 9 
June 30,Isaiah 62 | Matthew 10
July 1,Isaiah 63 | Matthew 11 
July 2,Isaiah 64 | Matthew 12 
July 3,Isaiah 65 | Matthew 13 
July 4,Isaiah 66 | Matthew 14 
July 5,Jeremiah 1 | Matthew 15 
July 6,Jeremiah 2 | Matthew 16 
July 7,Jeremiah 3 | Matthew 17 
